bt_x_1,bt_x_2,bt_x_3,bt_x_4,bt_range,bt_angle,bt_env_categories_1,bt_env_categories_2,bt_env_categories_3,bt_env_categories_4,bt_env_categories_5,bt_env_categories_6,bt_env_categories_7,bt_env_categories_8,bt_env_categories_9,bt_pos_loc_categories_1,bt_pos_loc_categories_2,bt_pos_loc_categories_3,bt_pos_loc_categories_4,bt_pos_loc_categories_5,bt_pos_loc_categories_6,bt_pos_loc_categories_7,bt_pos_loc_categories_8
-69.8077285913825,-61.8077023554852,8.00002623589725,611693304.880954,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-69.2954906119277,-61.2955430837223,7.99994752820546,611687287.021187,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-70.023061934351,-62.0230356984538,8.00002623589726,611693305.273538,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-70.0018971847238,-62.0018709488266,8.00002623589725,611693305.4288,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-68.9950282114638,-60.9950806832584,7.99994752820546,611687287.548524,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-68.5455625986918,-60.5455363627946,8.00002623589726,611693306.002956,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-68.8155687771309,-60.8155425412337,8.00002623589725,611693306.203045,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-69.0083013883397,-61.0083538601342,7.99994752820546,611687288.252129,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-68.8169783725555,-60.8169521366582,8.00002623589726,611693306.457173,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-68.7364954802632,-60.736469244366,8.00002623589725,611693306.669503,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-68.302970792318,-60.3030232641125,7.99994752820546,611687288.834483,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-67.8605902074899,-59.8605639715927,8.00002623589726,611693307.077673,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-68.3641591382519,-60.3641329023547,8.00002623589725,611693307.248404,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-68.3410141596877,-60.3410666314822,7.99994752820546,611687289.24656,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-68.9540372760508,-60.9540110401536,8.00002623589726,611693307.517252,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-68.6986930731125,-60.6986668372152,8.00002623589725,611693307.666118,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-70.2287042268714,-62.228756698666,7.99994752820546,611687289.747039,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-69.3375330901656,-61.3375068542683,8.00002623589726,611693308.108009,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-69.2625732366786,-61.2625470007813,8.00002623589725,611693308.298635,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-68.9629391106459,-60.9629915824404,7.99994752820546,611687290.33953,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-68.4106777970552,-60.4106515611579,8.00002623589726,611693308.781345,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-69.5133962777425,-61.5133700418452,8.00002623589725,611693308.963232,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-68.9532346364252,-60.9532871082197,7.99994752820546,611687290.973004,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-69.7623422076106,-61.7623159717134,8.00002623589726,611693309.303834,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-69.8008989558858,-61.8008727199886,8.00002623589725,611693309.413689,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-70.9884390784125,-62.988491550207,7.99994752820546,611687291.567855,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-72.7516719037873,-64.75164566789,8.00002623589726,611693309.90152,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-73.6194410264469,-65.6194147905496,8.00002623589725,611693310.017801,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-74.0044072974866,-66.0044597692811,7.99994752820546,611687292.063218,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-74.1600927734544,-66.1600665375571,8.00002623589726,611693310.286245,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-73.386899563844,-65.3868733279468,8.00002623589725,611693310.602803,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-72.7915315930574,-64.791584064852,7.99994752820546,611687292.851819,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-74.9345817237648,-66.9345554878676,8.00002623589726,611693311.155634,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-78.5958434640422,-70.595817228145,8.00002623589725,611693311.382367,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-77.379606457864,-69.3796589296585,7.99994752820546,611687293.460046,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-76.8831679756565,-68.8831417397593,8.00002623589726,611693311.723129,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-77.6177682418809,-69.6177420059836,8.00002623589725,611693311.887746,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-76.7407366300997,-68.7407891018943,7.99994752820546,611687293.995476,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-76.816484988769,-68.8164587528718,8.00002623589726,611693312.212095,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-78.0199409655882,-70.0199147296909,8.00002623589725,611693312.405454,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-76.555824609858,-68.5558770816525,7.99994752820546,611687294.578691,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-76.6769808075911,-68.6769545716938,8.00002623589726,611693312.937257,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-76.310310412935,-68.3102841770378,8.00002623589725,611693313.051025,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-77.0197781511545,-69.0198306229491,7.99994752820546,611687295.10922,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-80.0547063409304,-72.0546801050331,8.00002623589726,611693313.389404,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-78.2774903524974,-70.2774641166002,8.00002623589725,611693313.552771,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-79.2238556579384,-71.2239081297329,7.99994752820546,611687295.703736,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-80.1077325828352,-72.107706346938,8.00002623589726,611693314.073581,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-80.590196429532,-72.5901701936347,8.00002623589725,611693314.28283,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
